Id	Identifier	Description	Dependency	Importance
0	_CD6UgC5eEeS9p6LIBlWIGA	Hydraulic system	3	6
1	_PZapYCaEEeS0tfUgpGqGlg	Hydraulic power unit(HPU)	3	1
2	_SALyICaWEeS0tfUgpGqGlg	provides a stable and clean supply of hydraulic fluid to the remotely operated subsea valves	1	6
3	_cvnhUCwdEeSQFYYf79Ksag	analyze the time to prime the hydraulic system from a deprssureized state	1	1
4	_pd0SQCwdEeSQFYYf79Ksag	opening and closing response times of the process valves under conditions of minimum and maximum process pressure;	3	2
5	_4NOysCN6EeSuQOFGrs1zdQ	valve functionality	3	6
6	_xB8vYCOIEeSuQOFGrs1zdQ	Actuation of valve actuators shall not cause alarms or unintended valve movement due to low supply pressure in the SCM	2	3
7	_pUcGkCOHEeSuQOFGrs1zdQ	maintaining acceptable pressure values in the SCM during all modes of operation	1	7
8	_eHy1cCkNEeSjObCA45V3CQ	The pressure should not drop below 150% of the highest latching pressure of any DCV	2	4
9	_lfL2ICv0EeSQFYYf79Ksag	Shift time limitation	1	6
10	_sVnicCv0EeSQFYYf79Ksag	The shift time portion of the overall response time for a single USV shall be 3 min or less	1	5
11	_0rtqsCv0EeSQFYYf79Ksag	This shift time limitation may be waived if flow in the subsea well associated with the respective USV has already been stopped by other valves or flow control devices that have previously been closed or that are simultaneously responding to the commanded closure.	3	6
12	_tIs-4CnIEeSZ88Ie2i6ozw	tolerate some contamination by seawater and solid particles	3	2
13	_lJ7aMCwoEeSQFYYf79Ksag	Accumulators	2	5
14	_n2l0wCwoEeSQFYYf79Ksag	The accumulators shall comply with ASME Boiler and Pressure Vessel Code, Section VIII, or BS 7201-1 and ISO 10945 or any other agreed pressure vessel or accumulator code or standard	3	1
15	_FvpIICwpEeSQFYYf79Ksag	All surface-located accumulator systems shall have a pressure-relieving device to prevent over-pressurization.	2	4
16	_IZdqECwpEeSQFYYf79Ksag	Nitrogen pre-charge pressure should be significantly lower than normal hydraulic operating pressure to maximize stored energy in case of a supply pump failure	1	1
17	_Lr5EICwpEeSQFYYf79Ksag	Accumulator capacity  standard	2	2
