Id	Api covered	Execution time	# of failed execution	# of total execution
1	AccessibleExtendedTable, AccessibleHypertext, AccessibleValue, AccessibleContext, AccessControlContext, AccessibleRelation	18	8	29
2	AccessControlContext, AccessibleExtendedText, AccessibleSelection, AccessibleKeyBinding, AccessibleTable, AccessibleStreamable, AccessibleRole	9	6	7
3	AccessController, AccessibleSelection	15	0	16
4	AccessibleTable, AccessibleStreamable, AccessibleRelation	10	12	16
5	AccessibleTextSequence, AccessMode, AccessibleResourceBundle, Accessible, AccessibleStateSet, AccessibleHypertext	19	2	3
6	AccessibleObject, AccessControlContext, AccessibleTable, AccessController	19	23	25
7	AccessibleBundle, AccessibleState, AccessControlContext, AccessibleEditableText, AccessibleTextSequence, AccessibleText, AccessibleStateSet	4	16	21
8	AccessibleAction, AccessibleTable, AccessibleRelation	15	10	11
9	AccessibleAction, AccessibleIcon, Accessible	5	5	7
10	AccessibleExtendedText, AccessibleResourceBundle, AccessMode, Accessible, AccessibleAttributeSequence	14	26	38
11	AccessibleValue, AccessibleBundle	11	5	23
12	AccessibleTableModelChange, AccessibleText	19	11	19
13	AccessibleStateSet, AccessibleValue, AccessibleAction	10	20	37
14	AccessibleEditableText, AccessController	9	1	34
15	AccessibleStreamable, AccessibleIcon, AccessibleRelation, AccessibleKeyBinding, AccessibleTableModelChange	8	13	17
16	AccessibleBundle, AccessibleAction, AccessibleTextSequence	13	1	3
17	AccessibleBundle	7	4	29
18	AccessibleState	9	18	38
19	AccessibleExtendedText, AccessibleKeyBinding, Accessible, AccessibleText	13	3	6
20	AccessibleIcon, AccessibleTable, AccessibleAction, AccessibleState, AccessibleComponent, AccessibleHypertext	13	9	17
21	AccessibleStateSet, AccessibleRole, AccessController	17	20	38
22	AccessibleExtendedText, AccessibleTextSequence, AccessibleHyperlink, AccessibleObject, AccessibleHypertext, AccessMode	5	1	8
23	AccessibleResourceBundle, AccessControlContext, AccessibleEditableText, AccessibleState	7	18	22
24	AccessibleHyperlink, AccessibleStreamable, AccessibleRelation, AccessibleValue	15	5	27
25	AccessibleComponent, AccessibleAttributeSequence, AccessibleTextSequence, AccessibleRelation	12	33	34
26	AccessibleBundle, AccessibleSelection, AccessibleTable, AccessibleText, AccessibleComponent	9	7	13
27	AccessibleTable, AccessibleBundle, AccessibleAction, AccessibleRelation, AccessMode, AccessibleText, AccessController	14	3	33
28	AccessibleEditableText, AccessibleRelation, AccessibleComponent, AccessibleAttributeSequence, AccessibleTableModelChange, AccessibleHyperlink, AccessibleStateSet	13	9	11
29	AccessibleAction, AccessibleExtendedTable	7	2	9
30	AccessibleBundle, AccessibleExtendedText	10	2	3
31	AccessibleRole, AccessibleBundle, Accessible, AccessibleText	3	9	11
32	AccessibleAction, AccessibleExtendedTable, AccessibleContext, AccessibleText, AccessMode	9	1	2
33	AccessibleExtendedText, AccessibleValue, AccessibleTextSequence, AccessibleSelection	10	1	2
34	AccessController	13	1	15
35	AccessibleTable, AccessibleTextSequence, AccessibleResourceBundle, AccessMode, AccessibleText, AccessibleAction	19	1	20
36	Accessible	10	1	2
37	AccessMode, AccessibleExtendedTable, AccessControlContext, AccessibleTableModelChange, Accessible, AccessibleHypertext, AccessibleSelection	3	16	36
38	AccessibleHyperlink, AccessibleTableModelChange	10	5	31
39	AccessibleSelection, AccessibleHypertext, AccessibleValue, AccessMode, AccessibleText	13	8	9
40	AccessibleSelection, AccessibleState, AccessibleRelation, AccessControlContext, AccessibleIcon, AccessibleComponent	18	1	4
41	AccessibleObject, AccessibleRole, AccessibleStreamable, AccessibleResourceBundle	19	17	23
42	AccessibleEditableText, AccessibleHyperlink, AccessibleTable, AccessibleAttributeSequence, AccessibleExtendedTable, AccessibleIcon, AccessibleTextSequence	9	15	29
43	AccessibleExtendedComponent, AccessControlContext, AccessibleBundle	12	0	2
44	AccessibleSelection	5	8	18
45	AccessibleHyperlink, AccessibleText, AccessibleStreamable, AccessibleIcon, AccessibleRole, AccessController	5	2	21
46	AccessControlContext, AccessibleObject, AccessibleHyperlink, AccessibleRole, AccessibleComponent, AccessibleExtendedTable	11	13	14
47	AccessibleTableModelChange, AccessibleTable, AccessibleRole	17	9	14
48	AccessibleRelationSet	5	5	7
49	AccessibleAttributeSequence	12	10	33
50	AccessibleTableModelChange, AccessibleHypertext, AccessMode, AccessibleBundle, AccessibleStreamable, Accessible	10	16	17
51	AccessibleComponent, Accessible, AccessMode, AccessibleText, AccessibleResourceBundle, AccessibleState, AccessControlContext	10	16	29
52	AccessController, AccessibleAction	6	11	16
53	AccessibleExtendedComponent, AccessibleAttributeSequence	3	25	28
54	AccessibleTable	6	0	4
55	AccessibleHyperlink, AccessibleTextSequence, AccessibleHypertext, AccessControlContext	18	10	11
56	AccessibleRole, AccessibleContext	4	14	19
57	AccessibleExtendedComponent, AccessMode, AccessibleExtendedText, AccessibleIcon, AccessibleEditableText, AccessibleSelection	11	27	31
58	AccessibleResourceBundle, AccessibleKeyBinding, AccessibleStreamable, AccessibleText	12	7	38
59	AccessibleTableModelChange, AccessibleHypertext, AccessibleRole, AccessibleTable	8	1	11
60	AccessibleExtendedText, AccessibleTable	9	34	35
61	AccessibleExtendedComponent, AccessibleRelation, AccessibleResourceBundle, AccessibleContext, AccessMode, AccessibleValue	18	20	23
62	AccessibleStreamable, AccessibleObject	4	1	4
63	AccessibleRole, AccessController, AccessibleRelation, AccessibleStreamable, AccessibleExtendedTable, AccessibleExtendedText	12	6	15
64	AccessibleContext, AccessControlContext	15	0	2
65	AccessibleHyperlink, AccessibleResourceBundle, AccessibleContext, AccessibleHypertext, AccessibleAttributeSequence	15	11	12
66	AccessibleHyperlink, AccessibleEditableText	9	16	26
67	AccessibleRelation, AccessibleBundle, AccessibleExtendedComponent, AccessibleContext	15	3	8
68	AccessibleExtendedComponent, AccessibleContext, AccessibleBundle	12	13	31
69	AccessibleTableModelChange, AccessibleRole, AccessController, AccessibleRelationSet, AccessibleExtendedTable, AccessibleTextSequence	3	10	21
70	AccessibleRelationSet, AccessibleHypertext, AccessibleExtendedTable, AccessibleContext, AccessibleStateSet, AccessibleTableModelChange	14	9	24
71	AccessibleStateSet, AccessibleBundle, AccessibleStreamable, AccessibleAttributeSequence, AccessController	5	5	15
72	Accessible	18	0	2
73	AccessibleSelection, AccessibleExtendedTable, Accessible	6	0	11
74	AccessibleResourceBundle, AccessibleValue, AccessibleObject	6	6	31
75	AccessibleExtendedComponent, AccessibleHypertext, AccessibleRole, AccessibleStateSet, AccessibleState, AccessController	11	1	2
76	AccessibleTextSequence, AccessibleContext, AccessibleBundle, AccessibleStateSet, AccessibleEditableText, AccessibleAction, AccessibleComponent	11	4	20
77	AccessibleValue, AccessibleSelection, AccessibleHypertext, AccessibleTextSequence, AccessibleBundle	14	9	12
78	AccessibleRole, AccessibleText, AccessibleRelationSet, AccessibleEditableText, AccessibleExtendedComponent, AccessibleAction	18	3	5
79	AccessibleComponent, AccessibleObject, AccessibleExtendedComponent, AccessibleAction	3	15	19
80	AccessController, AccessibleHypertext, AccessibleAttributeSequence, AccessibleStreamable, AccessibleBundle, AccessibleResourceBundle	10	2	36
81	AccessibleObject, AccessibleTable, AccessController, AccessibleHypertext, AccessibleKeyBinding	3	8	12
82	AccessibleState, AccessibleTable	6	17	21
83	AccessibleHypertext, AccessibleBundle, AccessibleHyperlink, AccessibleIcon	4	21	32
84	AccessibleHyperlink, AccessibleExtendedComponent, AccessibleStreamable, AccessibleResourceBundle, AccessibleRelation, AccessibleStateSet, AccessibleAttributeSequence	10	13	39
85	AccessibleStateSet	15	3	22
86	AccessibleExtendedTable	6	3	7
87	AccessibleStateSet	3	3	19
88	AccessController, AccessMode, AccessibleComponent	19	1	15
89	AccessibleHyperlink, AccessibleBundle	12	3	19
90	AccessibleIcon, AccessibleExtendedText, AccessibleHyperlink, AccessController, AccessibleStateSet, AccessibleText, AccessibleContext	17	15	18
91	AccessibleEditableText	6	5	14
92	AccessibleTable, AccessibleRelationSet, AccessibleState, AccessController, AccessibleRelation, AccessibleAction	4	9	36
93	AccessibleStateSet, AccessibleValue, AccessibleRelationSet, AccessibleText, AccessibleHypertext	10	5	15
94	AccessibleIcon, AccessibleExtendedTable, AccessibleRelationSet, AccessibleKeyBinding	7	4	5
95	AccessibleHypertext, AccessMode, AccessibleBundle, AccessibleTableModelChange, AccessController	14	6	24
96	AccessibleTextSequence, AccessibleRelationSet, AccessibleTable, AccessibleResourceBundle, AccessibleState, Accessible	14	23	27
97	AccessibleKeyBinding, AccessibleRole, AccessibleExtendedComponent, AccessibleSelection, AccessibleExtendedTable, AccessibleHyperlink	9	6	16
98	AccessMode, AccessibleObject, AccessibleTextSequence	16	3	7
99	AccessibleHypertext, AccessibleState, AccessibleText, AccessibleResourceBundle, AccessibleObject, AccessibleStateSet, AccessibleExtendedComponent	4	4	5
100	AccessibleContext, AccessibleSelection	12	1	2
101	AccessibleTableModelChange, AccessibleBundle, AccessibleContext, AccessibleEditableText	8	2	30
102	AccessibleExtendedTable, AccessControlContext, AccessibleRelation, AccessibleHypertext, AccessibleSelection	4	9	19
